PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR,MONTH
6902.00,WN,Southwest Airlines Co.,14492,RDU,11292,DEN,2026,1
6903.00,UA,United Air Lines Inc.,14489,RDM,11292,DEN,2026,2
6903.00,WN,Southwest Airlines Co.,11259,DAL,15370,TUL,2026,1
6904.00,UA,United Air Lines Inc.,12266,IAH,13269,MGA,2026,1
6905.00,WN,Southwest Airlines Co.,13495,MSY,10821,BWI,2026,2
6906.00,UA,United Air Lines Inc.,11618,EWR,14747,SEA,2026,2
6906.00,YX,Republic Airline,12953,LGA,10397,ATL,2026,2
6907.00,UA,United Air Lines Inc.,12451,JAX,12266,IAH,2026,1
6909.00,DL,Delta Air Lines Inc.,10397,ATL,12278,ICT,2026,1
6909.00,WN,Southwest Airlines Co.,11697,FLL,12191,HOU,2026,2
6910.00,AA,American Airlines Inc.,14107,PHX,11032,CUN,2026,1
6910.00,TA,Taca International Airlines,14677,SAL,12266,IAH,2026,2
6910.00,UA,United Air Lines Inc.,14293,PUJ,11618,EWR,2026,2
6910.00,WN,Southwest Airlines Co.,10821,BWI,12391,ISP,2026,2
6911.00,WN,Southwest Airlines Co.,13232,MDW,13495,MSY,2026,1
6912.00,AS,Alaska Airlines Inc.,10713,BOI,14057,PDX,2026,2
6912.00,B6,JetBlue Airways,14027,PBI,10529,BDL,2026,2
6912.00,DL,Delta Air Lines Inc.,13487,MSP,12173,HNL,2026,2
6912.00,UA,United Air Lines Inc.,13930,ORD,12451,JAX,2026,1
6913.00,TP,TAP-TAP Air Portugal,12991,LIS,10721,BOS,2026,1
6914.00,DL,Delta Air Lines Inc.,13487,MSP,10713,BOI,2026,1
6916.00,F9,Frontier Airlines Inc.,10397,ATL,12889,LAS,2026,1
6916.00,JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,12478,JFK,11988,GRU,2026,2
6916.00,UA,United Air Lines Inc.,12451,JAX,12266,IAH,2026,2
6916.00,WN,Southwest Airlines Co.,10693,BNA,14683,SAT,2026,2
6918.00,AA,American Airlines Inc.,10411,AUA,11057,CLT,2026,2
6918.00,DL,Delta Air Lines Inc.,14869,SLC,13198,MCI,2026,1
6918.00,F9,Frontier Airlines Inc.,11292,DEN,10423,AUS,2026,1
6918.00,UA,United Air Lines Inc.,14771,SFO,14689,SBA,2026,1
6919.00,B6,JetBlue Airways,14838,SJO,11697,FLL,2026,1
6920.00,F9,Frontier Airlines Inc.,12889,LAS,13891,ONT,2026,2
6921.00,AA,American Airlines Inc.,12478,JFK,11625,EZE,2026,2
6921.00,AA,American Airlines Inc.,12478,JFK,11988,GRU,2026,2
6921.00,AA,American Airlines Inc.,14100,PHL,14293,PUJ,2026,1
6921.00,WN,Southwest Airlines Co.,14747,SEA,14831,SJC,2026,2
6922.00,KL,Klm Royal Dutch Airlines,10292,AMS,12892,LAX,2026,2
6924.00,MQ,Envoy Air,13514,MTY,11298,DFW,2026,2
6924.00,WN,Southwest Airlines Co.,10821,BWI,12339,IND,2026,2
6924.00,WN,Southwest Airlines Co.,12889,LAS,14747,SEA,2026,2
6926.00,AA,American Airlines Inc.,11057,CLT,14153,PLS,2026,2
6926.00,LH,Lufthansa German Airlines,11760,FRA,12264,IAD,2026,2
6927.00,MQ,Envoy Air,16271,YYZ,13930,ORD,2026,2
6927.00,OO,SkyWest Airlines Inc.,10713,BOI,14771,SFO,2026,2
6928.00,UA,United Air Lines Inc.,12266,IAH,13744,NRT,2026,1
6930.00,DL,Delta Air Lines Inc.,14492,RDU,13487,MSP,2026,2
6930.00,FJ,Air Pacific Ltd.,12892,LAX,13602,NAN,2026,1
6931.00,UA,United Air Lines Inc.,12266,IAH,14893,SMF,2026,2
6933.00,DL,Delta Air Lines Inc.,10397,ATL,11651,FCO,2026,2
6934.00,AA,American Airlines Inc.,11298,DFW,12277,ICN,2026,2
6934.00,B6,JetBlue Airways,11618,EWR,14843,SJU,2026,2
6936.00,DL,Delta Air Lines Inc.,10821,BWI,11433,DTW,2026,2
6936.00,UA,United Air Lines Inc.,13930,ORD,10752,BRU,2026,2
6937.00,YX,Republic Airline,14122,PIT,11618,EWR,2026,2
6938.00,AC,Air Canada,16271,YYZ,13930,ORD,2026,1
6938.00,DL,Delta Air Lines Inc.,12892,LAX,13303,MIA,2026,2
6938.00,WN,Southwest Airlines Co.,10423,AUS,11540,ELP,2026,2
6939.00,AA,American Airlines Inc.,15013,STI,13303,MIA,2026,2
6939.00,DL,Delta Air Lines Inc.,12478,JFK,11988,GRU,2026,2
6939.00,KE,Korean Air Lines Co. Ltd.,11298,DFW,12277,ICN,2026,2
6940.00,JX,STARLUX AIRLINES,15306,TPE,14747,SEA,2026,2
6940.00,UA,United Air Lines Inc.,14489,RDM,11292,DEN,2026,1
6941.00,WN,Southwest Airlines Co.,12191,HOU,13198,MCI,2026,1
6942.00,UA,United Air Lines Inc.,11298,DFW,12264,IAD,2026,1
6943.00,YX,Republic Airline,11278,DCA,12478,JFK,2026,1
6946.00,AA,American Airlines Inc.,10849,BZN,13930,ORD,2026,2
6946.00,UA,United Air Lines Inc.,14771,SFO,10696,BNE,2026,1
6947.00,UA,United Air Lines Inc.,11292,DEN,11066,CMH,2026,2
6947.00,WN,Southwest Airlines Co.,10423,AUS,10397,ATL,2026,2
6948.00,B6,JetBlue Airways,14027,PBI,12391,ISP,2026,1
6949.00,LH,Lufthansa German Airlines,12478,JFK,11760,FRA,2026,1
6950.00,AS,Alaska Airlines Inc.,12892,LAX,14312,PVR,2026,1
6951.00,UA,United Air Lines Inc.,12264,IAD,14293,PUJ,2026,2
6952.00,NK,Spirit Air Lines,14570,RNO,12889,LAS,2026,2
6952.00,YX,Republic Airline,12339,IND,12953,LGA,2026,1
6953.00,G4,Allegiant Air,11775,FSD,10466,AZA,2026,2
6953.00,WN,Southwest Airlines Co.,14635,RSW,11066,CMH,2026,1
6954.00,UA,United Air Lines Inc.,10397,ATL,12264,IAD,2026,2
6955.00,WN,Southwest Airlines Co.,13198,MCI,12191,HOU,2026,1
6956.00,AY,Finnair Oy,12101,HEL,11298,DFW,2026,1
6958.00,G4,Allegiant Air,11637,FAR,10466,AZA,2026,2
6959.00,AA,American Airlines Inc.,11433,DTW,14107,PHX,2026,2
6959.00,UA,United Air Lines Inc.,11298,DFW,14771,SFO,2026,1
6960.00,UA,United Air Lines Inc.,14986,SRQ,11618,EWR,2026,1
6960.00,WN,Southwest Airlines Co.,12391,ISP,10821,BWI,2026,2
6960.00,YX,Republic Airline,14730,SDF,13930,ORD,2026,1
6962.00,AA,American Airlines Inc.,11697,FLL,12953,LGA,2026,2
6963.00,OZ,Asiana Airlines Inc.,12277,ICN,14771,SFO,2026,2
6963.00,UA,United Air Lines Inc.,10821,BWI,14771,SFO,2026,2
6964.00,AA,American Airlines Inc.,11042,CLE,13303,MIA,2026,2
